Pair,SSIM,PSNR,MI,EN,CC,FMI,SF,AG
CT-MRI,0.731±0.02,17.820±1.17,3.322±0.32,5.100±0.21,0.718±0.03,0.291±0.01,0.091±0.01,0.030±0.00
PET-MRI,0.341±0.03,12.653±0.48,2.310±0.18,7.295±0.18,0.756±0.03,0.142±0.01,0.118±0.01,0.043±0.00
SPECT-MRI,0.705±0.06,21.201±2.02,3.205±0.25,4.746±0.55,0.853±0.02,0.227±0.03,0.031±0.01,0.010±0.00
